market_code,funding_rate,timestamp,collection_time
100000BABYDOGE-USD-SWAP-LIN,3e-06,2025-05-04 02:00:15,2025-05-04 02:08:18
10000CAW-USD-SWAP-LIN,-1e-05,2025-05-04 02:00:14,2025-05-04 02:06:41
1000ANDY-USD-SWAP-LIN,2.6e-05,2025-05-04 02:00:12,2025-05-04 02:05:11
1000BOBO-USD-SWAP-LIN,1.5e-05,2025-05-04 02:00:13,2025-05-04 02:06:02
1000BONK-USD-SWAP-LIN,-1.7e-05,2025-05-04 02:00:12,2025-05-04 02:04:57
1000CAT-USD-SWAP-LIN,1e-06,2025-05-04 02:00:14,2025-05-04 02:07:21
1000CHEEMS-USD-SWAP-LIN,-5e-06,2025-05-04 02:00:15,2025-05-04 02:08:32
1000COQ-USD-SWAP-LIN,-6e-06,2025-05-04 02:00:12,2025-05-04 02:05:15
1000FLOKI-USD-SWAP-LIN,-2.2e-05,2025-05-04 02:00:12,2025-05-04 02:05:07
1000LUNC-USD-SWAP-LIN,2e-06,2025-05-04 02:00:06,2025-05-04 02:01:19
1000MOG-USD-SWAP-LIN,4.7e-05,2025-05-04 02:00:07,2025-05-04 02:01:58
1000NEIRO1ETH-USD-SWAP-LIN,-1e-06,2025-05-04 02:00:14,2025-05-04 02:07:10
1000PEPE-USD-SWAP-LIN,-7e-06,2025-05-04 02:00:07,2025-05-04 02:02:02
1000PORK-USD-SWAP-LIN,7e-06,2025-05-04 02:00:14,2025-05-04 02:07:31
1000SATS-USD-SWAP-LIN,-6.2e-05,2025-05-04 02:00:15,2025-05-04 02:07:53
1000SHIB-USD-SWAP-LIN,-3.6e-05,2025-05-04 02:00:12,2025-05-04 02:05:04
1000TOSHI-USD-SWAP-LIN,0.0,2025-05-04 02:00:14,2025-05-04 02:06:38
1000USA-USD-SWAP-LIN,2.6e-05,2025-05-04 02:00:14,2025-05-04 02:06:30
1000WEN-USD-SWAP-LIN,1.7e-05,2025-05-04 02:00:14,2025-05-04 02:06:06
1000WHY-USD-SWAP-LIN,-2e-06,2025-05-04 02:00:14,2025-05-04 02:06:34
1000WUF-USD-SWAP-LIN,1.4e-05,2025-05-04 02:00:14,2025-05-04 02:07:03
AAVE-USD-SWAP-LIN,-9e-06,2025-05-04 02:00:09,2025-05-04 02:02:20
ACE-USD-SWAP-LIN,-6.2e-05,2025-05-04 02:00:07,2025-05-04 02:01:48
ACT-USD-SWAP-LIN,-2.9e-05,2025-05-04 02:00:16,2025-05-04 02:09:08
ACX-USD-SWAP-LIN,-5.6e-05,2025-05-04 02:00:20,2025-05-04 02:13:17
ADA-USD-SWAP-LIN,-4e-05,2025-05-04 01:00:03,2025-05-04 01:59:14
AERO-USD-SWAP-LIN,1e-06,2025-05-04 02:00:11,2025-05-04 02:04:21
AEVO-USD-SWAP-LIN,-4.2e-05,2025-05-04 02:00:11,2025-05-04 02:04:06
AGLD-USD-SWAP-LIN,-1e-06,2025-05-04 02:00:17,2025-05-04 02:09:59
AI16Z-USD-SWAP-LIN,0.0001,2025-05-04 02:00:18,2025-05-04 02:11:40
AIMEMECOIN-USD-SWAP-LIN,1e-06,2025-05-04 02:00:18,2025-05-04 02:11:10
AIXBT-USD-SWAP-LIN,2e-06,2025-05-04 02:00:18,2025-05-04 02:11:22
ALCH-USD-SWAP-LIN,9e-06,2025-05-04 02:00:19,2025-05-04 02:12:05
