market_code,funding_rate,timestamp,collection_time
100000BABYDOGE-USD-SWAP-LIN,-4e-06,2025-05-31 02:00:12,2025-05-31 02:00:20
100000BABYDOGE-USD-SWAP-LIN,-9e-06,2025-05-31 03:00:13,2025-05-31 03:22:02
100000JAGER-USD-SWAP-LIN,-5.9e-05,2025-05-31 02:00:25,2025-05-31 02:10:54
100000JAGER-USD-SWAP-LIN,-4.2e-05,2025-05-31 03:00:26,2025-05-31 03:32:35
10000CAW-USD-SWAP-LIN,-6e-06,2025-05-31 01:00:13,2025-05-31 01:58:39
10000CAW-USD-SWAP-LIN,-1.4e-05,2025-05-31 03:00:12,2025-05-31 03:20:20
1000ANDY-USD-SWAP-LIN,4e-06,2025-05-31 01:00:09,2025-05-31 01:57:04
1000ANDY-USD-SWAP-LIN,1e-06,2025-05-31 03:00:11,2025-05-31 03:18:46
1000BOBO-USD-SWAP-LIN,1.1e-05,2025-05-31 01:00:13,2025-05-31 01:57:55
1000BOBO-USD-SWAP-LIN,3e-05,2025-05-31 03:00:12,2025-05-31 03:19:36
1000BONK-USD-SWAP-LIN,-3.3e-05,2025-05-31 01:00:09,2025-05-31 01:56:49
1000BONK-USD-SWAP-LIN,-2.6e-05,2025-05-31 03:00:11,2025-05-31 03:18:31
1000CAT-USD-SWAP-LIN,1e-06,2025-05-31 01:00:14,2025-05-31 01:59:23
1000CAT-USD-SWAP-LIN,0.0,2025-05-31 03:00:13,2025-05-31 03:21:04
1000CHEEMS-USD-SWAP-LIN,-2e-06,2025-05-31 02:00:13,2025-05-31 02:00:31
1000CHEEMS-USD-SWAP-LIN,-4e-06,2025-05-31 03:00:14,2025-05-31 03:22:13
1000COQ-USD-SWAP-LIN,2e-06,2025-05-31 01:00:09,2025-05-31 01:57:07
1000COQ-USD-SWAP-LIN,-1e-06,2025-05-31 03:00:11,2025-05-31 03:18:49
1000FLOKI-USD-SWAP-LIN,-3.2e-05,2025-05-31 01:00:09,2025-05-31 01:57:00
1000FLOKI-USD-SWAP-LIN,-2.7e-05,2025-05-31 03:00:11,2025-05-31 03:18:42
1000LUNC-USD-SWAP-LIN,4e-06,2025-05-31 01:00:05,2025-05-31 01:53:11
1000LUNC-USD-SWAP-LIN,3e-06,2025-05-31 03:00:07,2025-05-31 03:14:53
1000MOG-USD-SWAP-LIN,1.3e-05,2025-05-31 01:00:05,2025-05-31 01:53:50
1000MOG-USD-SWAP-LIN,1e-05,2025-05-31 03:00:07,2025-05-31 03:15:32
1000NEIRO1ETH-USD-SWAP-LIN,2e-06,2025-05-31 01:00:14,2025-05-31 01:59:08
1000NEIRO1ETH-USD-SWAP-LIN,2e-06,2025-05-31 03:00:13,2025-05-31 03:20:49
1000PEPE-USD-SWAP-LIN,-2.9e-05,2025-05-31 01:00:06,2025-05-31 01:53:54
1000PEPE-USD-SWAP-LIN,-2.9e-05,2025-05-31 03:00:07,2025-05-31 03:15:36
1000PORK-USD-SWAP-LIN,-2e-06,2025-05-31 01:00:14,2025-05-31 01:59:30
1000PORK-USD-SWAP-LIN,-4e-06,2025-05-31 03:00:13,2025-05-31 03:21:11
1000SATS-USD-SWAP-LIN,-4.1e-05,2025-05-31 01:00:14,2025-05-31 01:59:52
1000SATS-USD-SWAP-LIN,-8.5e-05,2025-05-31 03:00:13,2025-05-31 03:21:33
1000SHIB-USD-SWAP-LIN,-2.8e-05,2025-05-31 01:00:09,2025-05-31 01:56:57
1000SHIB-USD-SWAP-LIN,-2.3e-05,2025-05-31 03:00:11,2025-05-31 03:18:38
1000TOSHI-USD-SWAP-LIN,3e-06,2025-05-31 01:00:13,2025-05-31 01:58:36
1000TOSHI-USD-SWAP-LIN,3e-06,2025-05-31 03:00:12,2025-05-31 03:20:17
1000USA-USD-SWAP-LIN,6.7e-05,2025-05-31 01:00:13,2025-05-31 01:58:28
1000USA-USD-SWAP-LIN,0.000127,2025-05-31 03:00:12,2025-05-31 03:20:09
1000WEN-USD-SWAP-LIN,8e-06,2025-05-31 01:00:13,2025-05-31 01:57:59
1000WEN-USD-SWAP-LIN,2e-06,2025-05-31 03:00:12,2025-05-31 03:19:40
1000WHY-USD-SWAP-LIN,2e-06,2025-05-31 01:00:13,2025-05-31 01:58:32
1000WHY-USD-SWAP-LIN,-1e-06,2025-05-31 03:00:12,2025-05-31 03:20:13
1000WUF-USD-SWAP-LIN,1.7e-05,2025-05-31 01:00:14,2025-05-31 01:59:01
1000WUF-USD-SWAP-LIN,3.1e-05,2025-05-31 03:00:13,2025-05-31 03:20:42
AAVE-USD-SWAP-LIN,-1.8e-05,2025-05-31 01:00:07,2025-05-31 01:54:12
AAVE-USD-SWAP-LIN,-1.4e-05,2025-05-31 03:00:08,2025-05-31 03:15:54
ACE-USD-SWAP-LIN,-5.7e-05,2025-05-31 01:00:05,2025-05-31 01:53:39
ACE-USD-SWAP-LIN,-3.3e-05,2025-05-31 03:00:07,2025-05-31 03:15:21
ACT-USD-SWAP-LIN,-3e-06,2025-05-31 02:00:13,2025-05-31 02:01:07
ACT-USD-SWAP-LIN,-3e-06,2025-05-31 03:00:14,2025-05-31 03:22:49
ACX-USD-SWAP-LIN,-6.8e-05,2025-05-31 02:00:19,2025-05-31 02:05:12
ACX-USD-SWAP-LIN,-6.6e-05,2025-05-31 03:00:18,2025-05-31 03:26:53
ADA-USD-SWAP-LIN,-2.4e-05,2025-05-31 01:00:03,2025-05-31 01:51:05
ADA-USD-SWAP-LIN,-2.3e-05,2025-05-31 03:00:05,2025-05-31 03:12:47
AERO-USD-SWAP-LIN,2e-06,2025-05-31 01:00:08,2025-05-31 01:56:14
AERO-USD-SWAP-LIN,-1e-06,2025-05-31 03:00:10,2025-05-31 03:17:55
AEVO-USD-SWAP-LIN,-4.7e-05,2025-05-31 01:00:08,2025-05-31 01:55:59
AEVO-USD-SWAP-LIN,-4.6e-05,2025-05-31 03:00:10,2025-05-31 03:17:40
AGLD-USD-SWAP-LIN,0.0,2025-05-31 02:00:14,2025-05-31 02:01:57
AGLD-USD-SWAP-LIN,0.0,2025-05-31 03:00:15,2025-05-31 03:23:40
AI16Z-USD-SWAP-LIN,-8e-06,2025-05-31 02:00:18,2025-05-31 02:03:34
AI16Z-USD-SWAP-LIN,-9e-06,2025-05-31 03:00:16,2025-05-31 03:25:16
AIMEMECOIN-USD-SWAP-LIN,2e-06,2025-05-31 02:00:17,2025-05-31 02:03:05
AIMEMECOIN-USD-SWAP-LIN,1e-06,2025-05-31 03:00:16,2025-05-31 03:24:48
AIXBT-USD-SWAP-LIN,-1.1e-05,2025-05-31 02:00:17,2025-05-31 02:03:16
AIXBT-USD-SWAP-LIN,-9e-06,2025-05-31 03:00:16,2025-05-31 03:24:58
ALCH-USD-SWAP-LIN,-2.1e-05,2025-05-31 02:00:18,2025-05-31 02:03:59
ALCH-USD-SWAP-LIN,-1.4e-05,2025-05-31 03:00:17,2025-05-31 03:25:41
ALGO-USD-SWAP-LIN,-3.6e-05,2025-05-31 02:00:19,2025-05-31 02:04:24
ALGO-USD-SWAP-LIN,-3.1e-05,2025-05-31 03:00:17,2025-05-31 03:26:06
ALT-USD-SWAP-LIN,-3e-05,2025-05-31 01:00:04,2025-05-31 01:52:07
ALT-USD-SWAP-LIN,-3.4e-05,2025-05-31 03:00:06,2025-05-31 03:13:47
ANIME-USD-SWAP-LIN,-3e-06,2025-05-31 02:00:21,2025-05-31 02:07:28
ANIME-USD-SWAP-LIN,-1.2e-05,2025-05-31 03:00:22,2025-05-31 03:29:10
ANSEM-USD-SWAP-LIN,-1e-06,2025-05-31 02:00:14,2025-05-31 02:02:08
ANSEM-USD-SWAP-LIN,0.0,2025-05-31 03:00:15,2025-05-31 03:23:51
APE-USD-SWAP-LIN,-2.4e-05,2025-05-31 01:00:08,2025-05-31 01:55:49
APE-USD-SWAP-LIN,-3.2e-05,2025-05-31 03:00:10,2025-05-31 03:17:30
API3-USD-SWAP-LIN,-4.7e-05,2025-05-31 01:00:04,2025-05-31 01:52:11
API3-USD-SWAP-LIN,-4.4e-05,2025-05-31 03:00:06,2025-05-31 03:13:51
APT-USD-SWAP-LIN,-2.7e-05,2025-05-31 01:00:05,2025-05-31 01:53:22
APT-USD-SWAP-LIN,-2.7e-05,2025-05-31 03:00:07,2025-05-31 03:15:03
APU-USD-SWAP-LIN,2.1e-05,2025-05-31 01:00:12,2025-05-31 01:57:44
APU-USD-SWAP-LIN,1.7e-05,2025-05-31 03:00:12,2025-05-31 03:19:26
AR-USD-SWAP-LIN,-4.8e-05,2025-05-31 02:00:13,2025-05-31 02:00:38
AR-USD-SWAP-LIN,-5.1e-05,2025-05-31 03:00:14,2025-05-31 03:22:20
ARB-USD-SWAP-LIN,-3.4e-05,2025-05-31 01:00:03,2025-05-31 01:51:20
ARB-USD-SWAP-LIN,-3.9e-05,2025-05-31 03:00:05,2025-05-31 03:13:01
ARC-USD-SWAP-LIN,-8e-06,2025-05-31 02:00:20,2025-05-31 02:05:37
ARC-USD-SWAP-LIN,-6e-06,2025-05-31 03:00:18,2025-05-31 03:27:19
ARKM-USD-SWAP-LIN,8e-06,2025-05-31 01:00:08,2025-05-31 01:56:17
ARKM-USD-SWAP-LIN,5e-06,2025-05-31 03:00:10,2025-05-31 03:17:58
ASTRO-USD-SWAP-LIN,6e-06,2025-05-31 02:00:18,2025-05-31 02:03:37
ASTRO-USD-SWAP-LIN,7e-06,2025-05-31 03:00:16,2025-05-31 03:25:20
ATOM-USD-SWAP-LIN,-2.9e-05,2025-05-31 01:00:05,2025-05-31 01:53:25
ATOM-USD-SWAP-LIN,-3e-05,2025-05-31 03:00:07,2025-05-31 03:15:07
AVA-USD-SWAP-LIN,-5e-06,2025-05-31 02:00:17,2025-05-31 02:02:57
AVA-USD-SWAP-LIN,-2.3e-05,2025-05-31 03:00:15,2025-05-31 03:24:41
AVAX-USD-SWAP-LIN,-1.9e-05,2025-05-31 01:00:03,2025-05-31 01:51:09
AVAX-USD-SWAP-LIN,-1.5e-05,2025-05-31 03:00:05,2025-05-31 03:12:50
AXL-USD-SWAP-LIN,-7.2e-05,2025-05-31 01:00:08,2025-05-31 01:55:34
AXL-USD-SWAP-LIN,-6.5e-05,2025-05-31 03:00:10,2025-05-31 03:17:16
B-USD-SWAP-LIN,-1.8e-05,2025-05-31 02:00:26,2025-05-31 02:11:26
B-USD-SWAP-LIN,-2e-05,2025-05-31 03:00:27,2025-05-31 03:33:07
B3-USD-SWAP-LIN,-0.000162,2025-05-31 02:00:22,2025-05-31 02:08:18
